ranking number korean English Math Sum Average
      1      1    100     100  100 300   100.0
      2      2     87      97   98 282    94.0
      3      7     77      88   99 264    88.0
      4      3     88      65   51 204    68.0
      5      8     54      84   63 201    67.0
      6      5     98      76   15 189    63.0
      7      9     48      47   93 188    62.7
      8      4     22      74   82 178    59.3
      9     10     88      80    8 176    58.7
     10      6     48      75   21 144    48.0
